season,flame_sensor_value,humidity,object_temp,ambient_temp,fire
winter,1,47,40.4,40.4,1
winter,1,57,43.3,43.3,1
winter,1,46,42.1,42.1,1
winter,1,46,42.6,42.6,1
winter,1,55,39.6,39.5,1
winter,1,74,44.3,44.3,1
winter,1,74,41,41.1,1
winter,1,46,43,43.2,1
winter,1,42,41,41.5,1
winter,1,42,40,40.3,1
winter,1,62,46,46.9,1
winter,1,33,40,40.8,1
winter,1,55,43,43.7,1
winter,1,59,43,43,1
winter,1,53,40,40,1
winter,1,90,41,41,1
winter,1,66,42,42.6,1
winter,1,50,40,40.9,1
winter,1,73,42,42.6,1
winter,1,58,44,44.4,1
winter,1,42,40,40.2,1
winter,1,35,43,43.2,1
winter,1,35,41,41.8,1
winter,1,47,45,45.9,1
winter,1,49,44,44.7,1
winter,1,50,40,40.6,1
winter,1,47,42,42.1,1
winter,1,51,43,43.6,1
winter,1,53,45,45.7,1
winter,1,53,46,46,1
winter,1,60,44,44.5,1
winter,1,75,40,40.8,1
winter,1,56,41,41.6,1
winter,1,56,44,44.7,1
winter,1,56,40,40.3,1
winter,1,29,41,41.8,1
winter,1,38,43,43.5,1
winter,1,38,44,44.6,1
winter,1,55,42,42.1,1
winter,1,55,44,44.1,1
winter,1,59,40,40.9,1
winter,1,59,42,42.3,1
winter,1,59,43,43.5,1
winter,1,70,43,43.8,1
winter,1,77,40,40.8,1
winter,1,70,41,41.8,1
winter,1,44,42,42.6,1
winter,1,49,43,43.6,1
winter,1,36,42,42.8,1
winter,1,47,43,43.7,1
winter,1,47,41,41.7,1
winter,1,47,43,42.8,1
winter,1,47,43,43.6,1
winter,1,54,42,42.2,1
winter,1,69,43,43.2,1
winter,1,55,43,43.5,1
winter,1,40,46,46.5,1
winter,1,40,44,44.3,1
winter,1,54,41,41.2,1
winter,1,54,40,40.3,1
winter,1,56,42,42.3,1
winter,1,65,41,41.5,1
winter,1,65,45,45,1
winter,1,39,43,43.2,1
winter,1,29,42,42.1,1
winter,1,34,43,43.2,1
winter,1,59,44,44.1,1
winter,1,41,42,42.3,1
winter,1,86,40,40.2,1
winter,1,86,41,41.3,1
winter,1,64,43,43.2,1
winter,1,66,43,43.5,1
winter,1,69,41,41.2,1
winter,1,69,40,40.3,1
winter,1,69,40,40.8,1
winter,1,47,46,46.8,1
winter,1,53,44,44.3,1
winter,1,55,44,44.2,1
winter,1,55,41,41.5,1
winter,1,55,43,43.6,1
winter,1,42,44,44.3,1
winter,1,40,41,41.6,1
winter,1,38,42,42.7,1
winter,1,45,43,43.6,1
winter,1,34,40,40.2,1
winter,1,64,41,41.2,1
winter,1,64,41,41.8,1
winter,1,61,41,42.8,1
winter,1,41,42,43.8,1
winter,1,41,40,39.8,1
winter,1,31,39,39.6,1
winter,1,36,39,39.4,1
winter,1,36,40,40.9,1
winter,1,64,41,41.8,1
winter,1,36,42,42.3,1
winter,1,75,42,42.5,1
winter,1,75,41,41.9,1
winter,1,75,42,42.8,1
winter,1,77,42,42.6,1
winter,1,77,43,43.6,1
winter,1,77,43,43.7,1
winter,1,77,41,41.8,1
winter,1,77,40,40.8,1
winter,1,78,40,40.9,1
winter,1,47,40,41.8,1
winter,1,63,41,41.6,1
winter,1,63,43,43.5,1
winter,1,77,42,43.7,1
winter,1,77,42,42.5,1
winter,1,77,43,42.8,1
winter,1,46,42,40.8,1
winter,1,38,43,40.9,1
winter,1,77,41,41.7,1
winter,1,91,40,40.2,1
winter,1,66,39,39.8,1
winter,1,49,43,43.6,1
winter,1,61,40,40.2,1
winter,1,36,41,41.6,1
winter,1,36,46,46.3,1
winter,1,36,44,44.2,1
winter,1,47,44,44.3,1
winter,1,47,41,41.5,1
winter,1,39,42,42.6,1
winter,1,31,40,40.2,1
winter,1,31,35,39.8,1
winter,1,31,43,43.6,1
winter,1,31,41,41.2,1
winter,1,31,43,43.6,1
winter,1,43,44,44.2,1
winter,1,23,44,43.5,1
winter,1,34,42,42.6,1
winter,1,64,40,41.6,1
winter,1,76,43,43.6,1
winter,1,36,40,44.1,1
winter,1,69,42,40.6,1
winter,1,45,43,40.8,1
winter,1,45,42,43.6,1
winter,1,45,42,45.2,1
winter,1,45,45,41.3,1
winter,1,48,42,42.1,1
winter,1,43,43,43.2,1
winter,1,40,44,44.2,1
winter,1,34,40,40.9,1
winter,1,42,40,40.8,1
winter,1,44,43,40.7,1
winter,1,44,43,43.2,1
winter,1,44,43,43.3,1
winter,1,28,43,43.5,1
winter,1,32,40,40.2,1
winter,1,32,40,40.3,1
winter,1,32,40,40.9,1
winter,1,32,42,42.5,1
winter,1,55,40,40.7,1
winter,1,41,44,44.5,1
winter,1,41,44,44.6,1
winter,1,89,44,44.6,1
winter,1,87,44,47.6,1
winter,1,90,40,41.8,1
winter,1,43,40,40.9,1
winter,0,41,18.1,20.3,0
winter,0,38,18.3,22.4,0
winter,0,47,18.5,25.3,0
winter,0,47,20.7,20.7,0
winter,0,47,21.3,22.4,0
winter,0,57,21.5,23.6,0
winter,0,46,21.5,21.4,0
winter,0,45,21.7,21.8,0
winter,0,46,20.5,20.4,0
winter,0,49,20.6,20.6,0
winter,0,49,20.6,20.6,0
winter,0,49,20.6,20.5,0
winter,0,49,19.8,19.7,0
winter,0,49,19.8,19.8,0
winter,0,52,19.8,25.9,0
winter,0,55,19.6,24.6,0
winter,0,55,19.6,26.3,0
winter,0,55,18.3,20.8,0
winter,0,68,18.3,22.3,0
winter,0,35,18.5,24.3,0
winter,0,35,18.6,22.5,0
winter,0,37,18.4,23.1,0
winter,0,50,18.9,22.1,0
winter,0,36,19.5,20.3,0
winter,0,48,19.8,22.6,0
winter,0,41,19.7,24.3,0
winter,0,31,20.5,20.5,0
winter,0,41,20.2,20.2,0
winter,0,43,20.8,20.6,0
winter,0,52,21.2,21.4,0
winter,0,52,21.3,21.5,0
winter,0,57,21.2,21.2,0
winter,0,21,21,21,0
winter,0,21,20.8,20.8,0
winter,0,25,20.5,20.4,0
winter,0,33,21.5,21.5,0
winter,0,50,20.6,20.6,0
winter,0,50,20.5,20.5,0
winter,0,55,20.8,20.7,0
winter,0,55,20.9,20.9,0
autumn,0,92,23,22.9,0
autumn,0,94,22.4,22.3,0
autumn,0,83,23.7,23.6,0
autumn,0,50,19.5,24.5,0
autumn,0,46,19.1,24.3,0
autumn,0,58,20.2,20.3,0
autumn,0,64,20.5,20.7,0
autumn,0,68,22.2,22.2,0
autumn,0,73,21.4,21.4,0
autumn,0,73,21,21,0
autumn,0,63,19,19.2,0
autumn,0,56,22.7,22.6,0
autumn,0,59,21.6,21.6,0
autumn,0,61,21.6,21.5,0
autumn,0,61,23,23.3,0
autumn,0,61,22.7,22.9,0
autumn,0,67,22.5,22.5,0
autumn,0,62,20.9,21.5,0
autumn,0,62,20.6,22.6,0
autumn,0,58,19.3,19.8,0
autumn,0,58,19.7,19.9,0
autumn,0,58,20,22.6,0
autumn,0,57,20,20,0
autumn,0,58,20.5,23,0
autumn,0,61,20.7,20,0
autumn,0,61,21.2,25,0
autumn,0,61,21.1,21.1,0
autumn,0,63,21.6,25,0
autumn,0,93,21.9,22.8,0
autumn,0,91,22,22,0
autumn,0,93,22.2,22.2,0
autumn,0,93,22.1,22.1,0
autumn,0,93,22.4,26,0
autumn,0,94,19.6,20,0
autumn,0,97,19.5,19.5,0
autumn,0,98,19.3,19.3,0
autumn,0,98,20.4,20.4,0
autumn,0,98,20.9,20.9,0
autumn,0,98,23.1,24,0
autumn,0,98,23.2,23.2,0
spring,0,77,19,23.5,0
spring,0,91,19.2,23.4,0
spring,0,88,19,20.3,0
spring,0,88,19.5,19.5,0
spring,0,87,19.5,19.5,0
spring,0,49,20.3,20.3,0
spring,0,49,20.3,20.3,0
spring,0,56,21.5,21.5,0
spring,0,56,21.5,21.5,0
spring,0,56,23.1,23.8,0
spring,0,34,23.1,23.1,0
spring,0,30,23.1,23.1,0
spring,0,36,22.8,24.3,0
spring,0,36,22.7,22.7,0
spring,0,36,22.4,23,0
spring,0,72,21.6,21.6,0
spring,0,72,21,21,0
spring,0,87,19.5,24.3,0
spring,0,87,19.5,22.5,0
spring,0,29,19.1,20.6,0
spring,0,45,19.1,19.1,0
spring,0,45,19.8,21,0
spring,0,56,20.3,20.3,0
spring,0,49,20.1,20.1,0
spring,0,49,20.2,20.2,0
spring,0,44,22.1,22.1,0
spring,0,76,22.3,22.8,0
spring,0,46,22.3,22.3,0
spring,0,46,22.5,22.5,0
spring,0,24,21.4,22,0
spring,0,24,21.7,21.7,0
spring,0,25,21.7,21.7,0
spring,0,23,20.1,20.1,0
spring,0,23,20.7,20.7,0
spring,0,21,20.7,20.7,0
spring,0,21,20.8,20.8,0
spring,0,21,20.6,20.6,0
spring,0,21,19.5,22.3,0
spring,0,41,18.8,19,0
spring,0,54,20.2,20.2,0
summer,0,45,25.4,25.4,0
summer,0,45,27.4,27.4,0
summer,0,45,28.6,28.6,0
summer,0,50,22.7,22.7,0
summer,0,23,22.6,22.6,0
summer,0,19,22.6,22.9,0
summer,0,67,28.4,28.4,0
summer,0,71,22.6,22.6,0
summer,0,71,23.2,23.2,0
summer,0,61,23,23,0
summer,0,51,28.2,29,0
summer,0,79,25.7,25.7,0
summer,0,46,27.9,27.9,0
summer,0,35,26.5,26.5,0
summer,0,35,24.4,26,0
summer,0,67,24.6,24.6,0
summer,0,68,25.9,25.9,0
summer,0,74,24.8,28,0
summer,0,50,25.2,25.2,0
summer,0,55,25.9,25.9,0
summer,0,58,25.4,25.4,0
summer,0,58,26.6,26,0
summer,0,59,25.2,25.2,0
summer,0,70,24.8,24.8,0
summer,0,74,25.6,25.6,0
summer,0,90,25.4,25.4,0
summer,0,53,27.2,30,0
summer,0,62,28.9,32,0
summer,0,69,22.8,24,0
summer,0,69,22.4,22.4,0
summer,0,69,23.5,23.5,0
summer,0,56,23.3,23.3,0
summer,0,56,23.8,23.8,0
summer,0,56,24.5,24.5,0
summer,0,56,24.1,24.1,0
summer,0,43,24.2,24.2,0
summer,0,43,27.8,27.8,0
summer,0,43,27.5,27.5,0
summer,0,42,26.6,28,0
summer,0,63,27.9,27.9,0
